listing_id,property_name,area,segment,configuration,size_sqf,asking_rent_myr,gender_rule,listed_date,status,signed_date,signed_source
L01,Arte Mont Kiara,"Mont Kiara, KL",whole_unit,1R1B + powder,494,1749,any,2025-12-01,signed,2026-02-18,propertyguru
L02,Nexus Residence (Room),"Taman Pertama, Cheras",room,"Private room, shared bath",120,899,any,2025-12-01,signed,2026-04-21,meta_ads
L03,J.Dupion Residence (Female Room),"Taman Tenaga, Cheras",room,"Medium room, shared bath",110,799,female,2025-12-08,active,,
L04,28 Boulevard Studio,"Pandan Perdana, Ampang",studio,"Studio, 1 car park",450,1599,any,2025-12-15,active,,
L05,Nexus Residence (Whole Unit),"Taman Pertama, Cheras",whole_unit,"3R2B, 2 car parks",850,2999,any,2026-01-05,signed,2026-05-12,propertyguru
L06,J.Dupion Residence (Master Room),"Taman Tenaga, Cheras",room,"Master room, attached bath",160,1200,any,2025-12-08,signed,2026-03-09,referral
L07,Lavile Kuala Lumpur,"Maluri, Cheras",whole_unit,2R2B,650,1800,any,2025-12-10,signed,2026-01-02,google_ads
L08,M Vertica (Room),"Maluri, Cheras",room,"Medium room, shared bath",115,850,any,2026-01-12,signed,2026-04-06,referral
L09,Sunway Velocity Two,"Maluri, Cheras",whole_unit,3R2B premium,950,3400,any,2026-02-01,active,,
L10,Razak City Residences Studio,"Sungai Besi, KL",studio,"Studio, furnished",480,1350,any,2025-12-20,signed,2026-03-26,google_ads
