review_id,competitor_id,rating,review_text,theme
1,1,4,Generous bowl and reasonable price.,good value
2,1,5,Generous bowl and reasonable price.,good value
3,1,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
4,1,4,"Best mango pomelo sago in the area, came back twice.",great taste
5,1,5,Generous bowl and reasonable price.,good value
6,1,2,No parking nearby and seating is very cramped.,parking / seating
7,2,5,"Best mango pomelo sago in the area, came back twice.",great taste
8,2,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
9,3,4,Generous bowl and reasonable price.,good value
10,3,4,"Best mango pomelo sago in the area, came back twice.",great taste
11,3,5,"Best mango pomelo sago in the area, came back twice.",great taste
12,3,3,Waited almost 20 minutes during the supper crowd.,slow service
13,4,5,"Best mango pomelo sago in the area, came back twice.",great taste
14,4,3,Waited almost 20 minutes during the supper crowd.,slow service
15,4,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
16,5,4,"Best mango pomelo sago in the area, came back twice.",great taste
17,5,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
18,5,4,"Best mango pomelo sago in the area, came back twice.",great taste
19,5,2,No parking nearby and seating is very cramped.,parking / seating
20,5,2,Waited almost 20 minutes during the supper crowd.,slow service
21,6,5,Generous bowl and reasonable price.,good value
22,6,2,No parking nearby and seating is very cramped.,parking / seating
23,6,2,Waited almost 20 minutes during the supper crowd.,slow service
24,6,5,Generous bowl and reasonable price.,good value
25,6,4,Generous bowl and reasonable price.,good value
26,6,2,Portion felt small for the price.,portion size
27,7,3,Waited almost 20 minutes during the supper crowd.,slow service
28,7,2,No parking nearby and seating is very cramped.,parking / seating
29,7,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
30,7,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
31,7,2,No parking nearby and seating is very cramped.,parking / seating
32,7,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
33,8,2,Portion felt small for the price.,portion size
34,8,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
35,8,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
36,8,3,No parking nearby and seating is very cramped.,parking / seating
37,9,5,"Ingredients taste fresh, not from a can.",fresh ingredients
38,9,5,"Ingredients taste fresh, not from a can.",fresh ingredients
